Asset,weights
ABT,0.04098534318660505
AME,0.0007121480439750028
BBWI,0.015214223628545931
BWA,0.02059080862138906
DAL,0.03163821346058887
EQR,0.010052573845842279
FIS,0.05470262722612734
FI,0.030472678188746712
GEN,0.0037589167232036573
HSIC,0.00993574470208613
LH,0.05454574591802532
LRCX,0.11368953384078519
MKTX,0.11851123631453585
META,0.18940747216653395
NWS,0.05137759808648051
NI,0.01753990041889579
NCLH,0.07649025074819765
ROP,0.07787774170404586
TSLA,0.009599679463952264
UBER,0.07289756305876037
